Gene,t_all,t_sub,t_vis,t_status,t_location,t_interaction
ARL16,-1.8430773549229,-0.427900211101224,-2.27780575792385,-1.84711864756834,0.49431408680231,-1.13071891729119
MCRIP1,-1.02519655831413,-0.149879356135456,-1.20836629525048,-0.969813980418441,-2.6749973718199,-0.704446918963304
P4HB,-0.845827618596389,-0.697358715710148,-0.409589889008214,-0.808701803692333,-4.40587835931695,0.316358350811306
ALYREF,-0.277786700680307,0.19336183287323,-0.45763404016394,-0.198471513868255,-1.71784526992366,-0.454801475406667
PCYT2,-1.01725788128771,-1.16457998325432,-0.287551436950941,-0.970877162080247,-3.13427774455891,0.567218753526056
RFNG,-0.8606695789036,-0.0500853493420514,-1.16644109505733,-0.844227298295044,-0.0809459280309007,-0.724819891897154
DUS1L,-0.832625629100651,0.299873723496213,-1.601478729087,-0.804096719400858,-0.357230859284769,-1.22756565387557
SECTM1,0.814025606534077,0.356540735470724,0.755878099620364,0.775367897223297,4.59495878478634,0.188290673643323
OGFOD3,-0.276101831441044,-0.644132786925829,0.151738413579046,-0.179428734784934,-2.19388502226539,0.452491719368283
CYBC1,-1.73023158958892,-1.35950990121332,-1.17603339380783,-1.81861688037346,1.3891328116878,0.254831341520553
WDR45B,-0.903206045110054,-0.798765574158272,-1.15840374100417,-1.38184486558255,4.85428360249678,-0.699881868117913
B3GNTL1,-0.454415367531914,-0.765675313374465,-0.262228186273135,-0.709734506591631,3.70369541529312,0.342126519188687
TNFSF12,-0.396391694114809,-0.165516868671788,-0.38384114163616,-0.412253825585233,0.413510392926198,-0.190163812723908
TNFSF13,-0.855185245465155,-1.22522383184207,-0.665338706947775,-1.37098053752893,5.21330823487788,0.540528360225521
TNFSF12-TNFSF13,0.0637660107207215,0.0112608993930601,-0.170173750740455,-0.113898517610447,3.74974737337695,-0.122809471051638
CD68,-1.06737078157751,-1.16611399751734,-0.254468264443265,-1.04172182827991,-3.58980758677637,0.746622684313308
NDEL1,-0.143892073532787,-0.255277882992487,-0.358985969803378,-0.444687648551191,5.166232045837,-0.0856981100812419
PIGL,-0.705974811893099,-0.26933196581665,-0.716129255917818,-0.670690228752898,-0.559171148281923,-0.211444426273659
CCDC144A,0.965200506814964,0.437888928685695,0.789489630232684,0.901678119229925,1.83905566563316,0.303707680573815
USP32P1,1.49601758935206,0.78345064109215,1.31067873464411,1.47283016950813,2.59123325301622,0.201497362043591
PRPSAP2,-0.6584308635527,-1.05639589032454,0.036920724559395,-0.678447608337408,0.539444620517401,0.764645508131213
SLC47A1,1.00363033143166,0.383690819507834,2.07637619994714,1.22069059067621,-2.72893065435518,0.446763985325327
LGALS9,-0.193839315537182,-0.832291242896619,0.834542120726863,-0.0298676976322681,-3.95489109407182,1.18148963786326
SARM1,-1.77972799775884,-1.29973383843776,-1.46778526949442,-1.93250324916128,1.89896036064978,0.317930868964771
SMURF2P1-LRRC37BP1,0.239596231869273,0.0416776482562942,0.240253012094661,0.225373003211407,0.217817526273532,0.164920548363512
ADAP2,-0.744194939209146,-0.0754593960080698,-1.07743772554376,-0.883977413252915,2.13290977708596,-0.739274981269867
LRRC37B,-0.88570521337076,0.160380753087497,-1.62408721613248,-1.04468261938407,2.26362767052297,-1.2241964273906
TMEM98,-0.228641782760899,-0.237358001004615,-0.332573047058266,-0.413687362814598,3.18332113537266,-0.120945826887004
STARD3,-0.21604217713309,-0.598690039056059,0.301890758684263,-0.218490582621133,0.110702786176585,0.650876406316687
PSME3,-0.303166443426077,0.690544656648203,-0.838241070429029,-0.298662588414297,-0.00225992704518974,-1.06739289123166
DHX8,1.82136030070309,1.25082213392332,1.31285655011008,1.81072446887253,-0.277240019178434,0.288533523265728
LINC02210-CRHR1,-1.55971283031254,-0.73759993086391,-1.50181358764832,-1.53078094786302,-0.134162243905882,-0.278435309949733
LINC02210,-1.2780655932709,-0.742808883631674,-1.04340326433355,-1.26291295418066,0.0656026716372329,-0.0615907561186749
ITGB3,-0.170267770007457,0.0258047891571574,0.316502000340886,0.167447128937457,-9.61353129943262,0.110819336908677
EFCAB13,0.65675653302227,0.527901690995298,0.486699491933661,0.718991984115252,-1.18862373955568,0.0165014845540266
PNPO,-1.52136566424469,-0.559731353291236,-1.45202765110982,-1.47336881229436,-0.738572632830928,-0.653716779536479
CDK5RAP3,-1.94614966216119,-1.9960083149126,-1.06622141542273,-2.06400209796533,1.60534244381779,0.42866155466112
HOXB-AS3,-0.467922976377011,-0.637641291560622,-0.689867480345279,-0.917132509106027,5.69805845978683,-0.270192063406154
PRR11,0.6263797948447,-0.109044013505927,1.39379718691933,0.848924990478313,-3.10913438804815,0.969464458834475
SMG8,0.860592758759215,-0.675625180140799,2.93935551771204,0.897515128217483,-0.829638547890913,2.05114203047754
RNFT1-DT,1.82598926955166,0.517570941237027,2.74856030312277,2.02801154362805,-2.22807611012237,1.0933971779779
CA4,-0.688416969472705,-0.067042864385504,-0.988701286292396,-0.801651397418537,1.84884378267933,-0.669549603808176
ACE,-0.201004040415537,-1.48516024320105,1.76072509287636,0.0459531613836704,-6.90303236407691,2.27966299939132
ARSG,0.535005798913318,0.292621798392618,0.335132373426371,0.445161513425898,2.48455802411109,0.104992187336358
PRKAR1A,0.272072349736082,-0.0843029979731511,0.492070922908183,0.283617502156459,-0.302696266521455,0.388316257864833
COG1,0.989082486515189,0.369275889518092,1.18944104551217,1.08381912524584,-1.55351706350281,0.471266585887506
METTL23,0.215211954941199,0.985391456486561,-0.314182949493531,0.193129776598826,0.387415339588332,-0.754630593627603
ANAPC11,-0.513715695461906,0.0309815095041973,-0.694538353011759,-0.405336798567258,-4.08647995686349,-0.430294202486694
GLOD4,1.28441153293997,0.317929953696732,1.77798978567963,1.37052508369583,-1.4158132920309,0.800793610465758
ABR,-0.455919776447277,-0.243649680760343,-0.251923387285697,-0.351254518970339,-2.97425754266879,-0.0451994569451473
SPATA22,0.222561617506402,-0.317543367671833,0.661583658160582,0.262017405171452,-0.813506250817666,0.685887391174305
TRPV3,-1.05316383327038,-0.482649165629952,-1.09066689250982,-1.16124560505698,1.6838772417464,-0.480476455236128
P2RX5-TAX1BP3,-0.674795843874436,-0.422234088601068,-0.631592771693758,-0.757334462142873,1.46439319013902,-0.362970849746328
NUP88,-0.571680538568918,0.0822238418280038,-0.725512836897375,-0.558796561709842,-0.0932958387586537,-0.619197263824611
C1QBP,0.824095937157301,0.429596283219134,0.894457712247408,0.951035763745797,-1.95594742943972,0.290152939502327
DHX33,1.4234565423965,0.827933880709478,1.31397563452262,1.54204844366138,-1.70307178690494,0.307225399316783
CTDNEP1,1.26414015499443,1.25121390080408,0.499110187922408,1.22743146637437,0.429504009316697,-0.544482887374251
NAA38,0.725098756800318,1.08291280893487,-0.129818677806853,0.714902836241637,-0.00609783241027024,-0.92542456201364
TRAPPC1,-1.33943080598211,-0.514951850716252,-1.56664141651886,-1.28458031645764,-1.34568248242232,-0.331392065393634
KRBA2,1.16285700736919,0.240674692113789,1.68348826599591,1.13434900954699,0.252797349872879,0.667082074797372
TRIM16,1.41444305897318,1.1420273940513,1.01209360379696,1.52159483228251,-1.60110655993765,0.0134913358239634
SPAG5,1.21220236809699,0.773253841905895,0.83938660984337,1.15689897345884,1.94887629717697,0.0232116542153986
RFFL,-0.763634530153515,-1.0458603267464,-0.287614219759412,-0.945651694107411,2.57001251100744,0.573632136541868
SLFN12L,-1.69091588520303,-1.59758522906115,-0.669962549188073,-1.6403347802147,-0.828598375872052,0.813194522016838
MYO19,-0.764103769338113,1.14230460208906,-1.79643837230655,-0.691253992581004,-2.12821222774868,-2.08510320325784
SMARCE1,-0.318938364230717,-0.480441727612085,0.0871610557817842,-0.255121742333193,-1.33102421011555,0.396132300875934
RAB5C,-0.180554675586721,-0.57022535232029,0.523871571502769,-0.0435950205003702,-3.12521383780209,0.777339987377215
TMEM101,0.153825271623071,0.545270653524383,-0.336702610295345,0.203124303809167,-0.989448036840063,-0.645469016646207
SUPT4H1,0.683150318008614,0.887686105409582,-0.00697214961886579,0.636982258626863,0.85756634071087,-0.674613127699453
